url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,lat,long
https://amarillo.craigslist.org/cto/d/1997-ford-expedition/6708791822.html,amarillo,2750,1997,ford,"expedition xlt",excellent,"8 cylinders",gas,170000,clean,automatic,,,,,,https://images.craigslist.org/00D0D_icQcBlwXZvD_600x450.jpg,35.1939,-101.7975
https://amarillo.craigslist.org/cto/d/2008-chrysler-300/6710484563.html,amarillo,4900,2008,chrysler,300,"like new","6 cylinders",gas,,clean,automatic,,,,,grey,https://images.craigslist.org/00M0M_3psyhefyiTb_600x450.jpg,35.1939,-101.7975
https://amarillo.craigslist.org/cto/d/1962-mercury-montery-sedan/6712004060.html,amarillo,11500,1962,mercury,monterey,excellent,"8 cylinders",gas,33000,clean,manual,2j62w507402,rwd,full-size,sedan,white,https://images.craigslist.org/00f0f_lIAq1LJ9xgP_600x450.jpg,34.498728,-103.283784
https://amarillo.craigslist.org/cto/d/ford-truck-4-door-5-loaded/6717934032.html,amarillo,12000,2015,ford,truck,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/01313_1PGHW0yuJXQ_600x450.jpg,35.1663,-101.8868
https://amarillo.craigslist.org/cto/d/97-toyota-tercel/6715879390.html,amarillo,1200,1997,,"Totota tercel",,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00e0e_hcXKXAYlD4n_600x450.jpg,35.2309,-101.806
https://amarillo.craigslist.org/cto/d/2012-jeep-grand-cherokee/6717898530.html,amarillo,14500,2012,jeep,"grand cherokee laredo",good,"6 cylinders",gas,131000,lien,automatic,,rwd,full-size,SUV,white,https://images.craigslist.org/00l0l_covgTy4MOTv_600x450.jpg,35.098608,-101.738783
https://amarillo.craigslist.org/ctd/d/2018-honda-civic-type-touring/6717868670.html,amarillo,39995,2018,honda,"civic type r",excellent,"4 cylinders",gas,17,clean,manual,SHHFK8G77JU203930,fwd,compact,sedan,black,https://images.craigslist.org/00B0B_49CHGgqkrB5_600x450.jpg,35.603972,-97.496952
https://amarillo.craigslist.org/cto/d/showroom-condition-97-chevy/6713729004.html,amarillo,24500,1997,gmc,sierra,"like new","8 cylinders",gas,17443,clean,automatic,,4wd,,,brown,https://images.craigslist.org/00404_63t59dxesBo_600x450.jpg,35.4319,-100.2568
https://amarillo.craigslist.org/cto/d/vendo-2007-coronado/6717857934.html,amarillo,14500,2007,,freighliner,,,diesel,75000,clean,manual,,,,,,https://images.craigslist.org/00R0R_kAwPb2eI8rR_600x450.jpg,35.1859,-111.662
https://amarillo.craigslist.org/cto/d/90-ford-bronco-river-toy/6704574921.html,amarillo,1700,1990,ford,bronco,,"8 cylinders",gas,,clean,automatic,,,,,,https://images.craigslist.org/00S0S_bOV88AOfdjn_600x450.jpg,35.2309,-101.806
https://amarillo.craigslist.org/cto/d/2012-nissan-altima/6716310981.html,amarillo,5000,2012,nissan,"altima 2.5",,,gas,,rebuilt,automatic,,,,,,https://images.craigslist.org/00a0a_4J5yUN4E4jF_600x450.jpg,33.633361,-101.923374
https://amarillo.craigslist.org/cto/d/2016-kia-rio/6716317802.html,amarillo,6500,2016,kia,rio,,"4 cylinders",gas,40000,clean,automatic,,,,,,https://images.craigslist.org/00y0y_bx0sM7A87Qg_600x450.jpg,33.633361,-101.923374
